Edad	Apariciones	Victorias	Derrotas	Goles	Goles_de_cabeza	Goles_con_pie_derecho	Goles_con_pie_izquierdo	Tiros_al_palo	Entradas	Éxito_entradas_%	Disparos_bloqueados	Intercepciones	Despejes	Despejes_de_cabeza	Recuperaciones	Duelos_ganados	Duelos_perdidos	Duelos_50_50_exitosos	Duelos_aéreos_ganados	Duelos_aéreos_perdidos	Asistencias	Pases	Pases_por_partido	Ocasiones_claras_creadas	Centros	Tarjetas_amarillas	Faltas	Fueras_de_juego	Cluster	PCA1	PCA2
25.0	160	90	37	7	0.0	4.0	3.0	3.0	214.0	78.0	32.0	208.0	304.0	143.0	732.0	611.0	709.0	196.0	161.0	215.0	18	7125	44.53	28.0	389.0	23	125	8.0	3	4.414095872475621	-0.6997367016001049
23.0	16	7	5	1	0.0	0.0	1.0	0.0	21.0	81.0	1.0	12.0	32.0	12.0	63.0	55.0	38.0	12.0	10.0	16.0	1	519	32.44	1.0	45.0	2	9	0.0	0	-2.6722584517846317	-0.10129465273353347
19.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0	0.0	0	-3.879179966844998	-0.42796535679679
32.0	44	21	11	3	1.0	2.0	0.0	1.0	67.0	61.0	4.0	43.0	175.0	82.0	173.0	227.0	160.0	11.0	115.0	73.0	2	2416	54.91	4.0	1.0	18	56	1.0	0	-0.6181125961492157	0.9152113672599003
25.0	41	25	9	0	0.0	0.0	0.0	0.0	50.0	70.0	3.0	54.0	170.0	92.0	192.0	176.0	142.0	19.0	96.0	64.0	0	2200	53.66	0.0	3.0	8	32	0.0	0	-1.5059963652888733	0.9449395352606732
28.0	99	52	26	7	6.0	1.0	0.0	2.0	197.0	73.0	14.0	195.0	531.0	345.0	455.0	670.0	416.0	26.0	413.0	218.0	4	5907	59.67	5.0	45.0	28	117	7.0	3	3.0543471145075203	3.139971622019459
25.0	139	47	57	6	1.0	4.0	1.0	1.0	257.0	70.0	22.0	247.0	537.0	301.0	735.0	703.0	619.0	93.0	301.0	240.0	3	5935	42.7	9.0	210.0	28	137	2.0	3	3.59220678940008	2.144690125935393
33.0	194	113	38	13	6.0	6.0	1.0	5.0	240.0	74.0	59.0	344.0	832.0	443.0	1042.0	846.0	680.0	80.0	344.0	256.0	7	10165	52.4	22.0	67.0	40	212	5.0	2	7.050799643331574	2.7620843507031934
27.0	78	40	22	2	0.0	0.0	2.0	1.0	112.0	66.0	11.0	72.0	111.0	68.0	365.0	284.0	264.0	41.0	97.0	80.0	11	3201	41.04	18.0	123.0	12	74	16.0	3	0.42852905079042236	-0.5056232572854104
22.0	2	2	0	1	0.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	8.0	7.0	6.0	8.0	7.0	0.0	4.0	3.0	0	197	98.5	0.0	0.0	0	3	0.0	0	-3.180231890072494	0.08322421196194764
31.0	184	100	39	33	4.0	4.0	25.0	7.0	161.0	68.0	58.0	75.0	37.0	13.0	778.0	625.0	744.0	248.0	28.0	83.0	54	11186	60.79	65.0	834.0	13	95	83.0	1	8.63738126981752	-8.265165651311431
24.0	63	28	15	3	0.0	3.0	0.0	1.0	96.0	57.0	10.0	75.0	53.0	22.0	327.0	276.0	212.0	30.0	32.0	47.0	3	2493	39.57	3.0	40.0	14	62	0.0	0	-0.8563655005807775	0.09075109535499058
